Recipe Name,Ingredients,Instructions,Category,Prep Time (mins)
Quinoa Salad,"Quinoa, Cherry Tomatoes, Cucumber, Olive Oil, Lemon Juice",Cook quinoa and mix with chopped vegetables and dressing.,Vegetarian,20
Avocado Toast,"Whole Grain Bread, Avocado, Lemon Juice, Salt, Pepper","Mash avocado, spread on toast, and season with salt and pepper.",Vegan,10
Greek Yogurt Parfait,"Greek Yogurt, Granola, Honey, Mixed Berries","Layer yogurt, granola, honey, and berries in a cup.",Vegetarian,5
Oatmeal with Berries,"Oats, Almond Milk, Blueberries, Chia Seeds, Honey","Cook oats with almond milk, top with berries and chia seeds.",Vegetarian,15
Grilled Chicken Salad,"Grilled Chicken Breast, Lettuce, Cherry Tomatoes, Olive Oil, Lemon","Grill chicken, chop veggies, and mix with dressing.",High-Protein,25
Lentil Soup,"Lentils, Carrots, Celery, Onion, Garlic, Vegetable Broth",Cook lentils and vegetables in broth until tender.,Vegan,30
Smoothie Bowl,"Banana, Mixed Berries, Almond Milk, Chia Seeds, Granola","Blend fruits and milk, pour into a bowl, and top with granola.",Vegan,10
Baked Salmon,"Salmon, Lemon, Garlic, Olive Oil, Herbs","Bake salmon with garlic, lemon, and herbs.",High-Protein,20
Stuffed Bell Peppers,"Bell Peppers, Brown Rice, Black Beans, Corn, Spices","Stuff peppers with rice, beans, and corn, then bake.",Low-Carb,35
Chia Seed Pudding,"Chia Seeds, Almond Milk, Honey, Vanilla Extract",Mix ingredients and refrigerate overnight.,Vegan,5
